Data,Tolerance,Train_Size,Test_Size,Fold_Num,Model_Name,Fit_Time,Eval_Time,Min_Error,Max_Error,Median_Error,Average_Error
Parkinsons,0.6,374,94,8,Iterative Box Mesh,3.434439182281494,0.003504037857055664,-6.30194934721,10.4834248637,0.023293951944,0.302156923943
Parkinsons,0.6,374,94,8,Voronoi Mesh,6.153378963470459,0.009873151779174805,-0.035694042374,5.81058118079,2.57702717409,2.52222836318
Parkinsons,0.6,374,94,9,Max Box Mesh,2.755356788635254,0.002930879592895508,-0.925167538877,1.2674530875,-0.333046533665,-0.270475809934
Parkinsons,0.6,374,94,9,Iterative Box Mesh,2.816257953643799,0.0031468868255615234,-11.6153189393,5.8868010783,0.00710226042716,0.0250032993818
Parkinsons,0.6,374,94,9,Voronoi Mesh,5.8178181648254395,0.009409904479980469,0.0580189516601,7.27609333729,2.55437929434,2.68668576326
Parkinsons,0.8,374,94,0,Max Box Mesh,2.3068082332611084,0.0028259754180908203,-0.920263535443,132.760813965,-0.378433338771,1.25445076018
Parkinsons,0.8,374,94,0,Iterative Box Mesh,3.05179500579834,0.0033359527587890625,-102.962177382,20.7120558498,-0.203309798349,-0.975862722736
Parkinsons,0.8,374,94,0,Voronoi Mesh,5.542954683303833,0.008434772491455078,0.0911510312708,8.32389517986,2.20444184806,2.53713820235
Parkinsons,0.8,374,94,1,Max Box Mesh,2.2534019947052,0.0028009414672851562,-0.884866499676,3.58853422872,-0.363524771015,-0.21543428799
Parkinsons,0.8,374,94,1,Iterative Box Mesh,2.831799030303955,0.003380298614501953,-58.7393199147,6.61928200098,-0.0392624131023,-0.832863652772
Parkinsons,0.8,374,94,1,Voronoi Mesh,5.837076902389526,0.009503841400146484,-0.303745885872,8.07978737797,2.51219446745,2.70386861527
Parkinsons,0.8,374,94,2,Max Box Mesh,2.2375149726867676,0.0027608871459960938,-0.831287593083,121.286381838,-0.221448131647,1.24478652088
Parkinsons,0.8,374,94,2,Iterative Box Mesh,2.6841371059417725,0.002865314483642578,-18.1129909433,63.9471772276,-0.0329913102229,1.67625101559
Parkinsons,0.8,374,94,2,Voronoi Mesh,5.392954111099243,0.008533000946044922,0.10478320764,6.60106614216,2.27886742564,2.41836879784
Parkinsons,0.8,374,94,3,Max Box Mesh,2.653735876083374,0.0029938220977783203,-0.830697092275,3.59859585662,-0.335048496979,-0.155024777657
Parkinsons,0.8,374,94,3,Iterative Box Mesh,3.006118059158325,0.00327301025390625,-26.377100807,52.0257637093,-0.0960072710293,1.32601994526
Parkinsons,0.8,374,94,3,Voronoi Mesh,5.590177059173584,0.008728981018066406,0.317439705737,7.51460057764,2.58653371659,2.70587893707
Parkinsons,0.8,374,94,4,Max Box Mesh,2.4210758209228516,0.002934694290161133,-0.87642906608,4.95681462127,-0.377315916122,-0.139004773226
Parkinsons,0.8,374,94,4,Iterative Box Mesh,2.8168351650238037,0.004167795181274414,-9.40693647816,8.89828275108,-0.071499986502,0.183501353812
Parkinsons,0.8,374,94,4,Voronoi Mesh,5.676992893218994,0.008625984191894531,-0.0198150140159,7.93564214181,2.16509432773,2.53273275176
Parkinsons,0.8,374,94,5,Max Box Mesh,3.003693103790283,0.003159046173095703,-0.95218458849,5.96959614649,-0.426026921545,-0.118225365752
Parkinsons,0.8,374,94,5,Iterative Box Mesh,2.659036159515381,0.003061532974243164,-1.2459602626,7.42699550912,-0.014161488592,0.209879860123
Parkinsons,0.8,374,94,5,Voronoi Mesh,5.399868011474609,0.008324861526489258,-0.257995939767,6.78211578693,2.44969966648,2.6978396433
Parkinsons,0.8,374,94,6,Max Box Mesh,2.9657018184661865,0.003180265426635742,-0.915803025742,4.3651484544,-0.298748131633,-0.0790743209997
Parkinsons,0.8,374,94,6,Iterative Box Mesh,3.0250706672668457,0.0032529830932617188,-36.9410718965,28.736432992,0.174452853902,0.186590411755
Parkinsons,0.8,374,94,6,Voronoi Mesh,5.533918857574463,0.007824182510375977,-0.574655848196,6.23980307471,2.31051225334,2.25204640151
Parkinsons,0.8,374,94,7,Max Box Mesh,2.6290817260742188,0.0028138160705566406,-0.913153054901,2.14710564023,-0.361812443831,-0.218200859817
Parkinsons,0.8,374,94,7,Iterative Box Mesh,2.988325834274292,0.003383159637451172,-10.236155637,79.2638748636,-0.172582861994,2.07778320912
Parkinsons,0.8,374,94,7,Voronoi Mesh,5.9153361320495605,0.010627985000610352,-0.125056584811,8.20363872534,2.48067199801,2.60332696134
Parkinsons,0.8,374,94,8,Max Box Mesh,2.3276710510253906,0.0027937889099121094,-0.898895199837,6.62692273878,-0.21897150445,0.0127261781729
Parkinsons,0.8,374,94,8,Iterative Box Mesh,2.7743260860443115,0.003103017807006836,-7.20237376445,20.789847196,0.13977497841,1.06082745185
Parkinsons,0.8,374,94,8,Voronoi Mesh,5.81465482711792,0.008957862854003906,-0.366155668211,7.87409049653,2.22095306897,2.49156248614
Parkinsons,0.8,374,94,9,Max Box Mesh,2.1598730087280273,0.0027282238006591797,-0.889671268038,3.09867966092,-0.303207057,-0.14400566865
Parkinsons,0.8,374,94,9,Iterative Box Mesh,2.652757167816162,0.0029859542846679688,-2.13837896053,3.86144212951,-0.0157857233598,0.115535004617
Parkinsons,0.8,374,94,9,Voronoi Mesh,5.6830620765686035,0.008668899536132812,0.0787702789224,6.88200639899,2.11912718917,2.34293318849
Parkinsons,1.0,374,94,0,Max Box Mesh,2.3350670337677,0.002832174301147461,-0.960380237559,3.66837240279,-0.324732496011,-0.167065134461
Parkinsons,1.0,374,94,0,Iterative Box Mesh,2.6402101516723633,0.0030221939086914062,-4.26248601572,9.0832348335,-0.0333263173341,0.325030699289
Parkinsons,1.0,374,94,0,Voronoi Mesh,5.2990217208862305,0.008205890655517578,0.0602450693513,6.70401399582,2.34626633428,2.56715286108
Parkinsons,1.0,374,94,1,Max Box Mesh,2.0098109245300293,0.002680063247680664,-0.927121479579,4.32018677908,-0.333559729533,-0.107450137928
Parkinsons,1.0,374,94,1,Iterative Box Mesh,2.7762398719787598,0.003107786178588867,-10.7217809727,120.549617671,-0.0427809736551,1.03667438521
Parkinsons,1.0,374,94,1,Voronoi Mesh,5.1591877937316895,0.008263826370239258,-0.35490892661,7.91639900064,2.32071200861,2.63050029151
Parkinsons,1.0,374,94,2,Max Box Mesh,2.3967719078063965,0.002853870391845703,-0.94380444964,4.25851242686,-0.36071346395,-0.206150924425
Parkinsons,1.0,374,94,2,Iterative Box Mesh,2.91365385055542,0.0031659603118896484,-7.15760541581,4.68153697136,-0.0622844840674,-0.0637923504177
Parkinsons,1.0,374,94,2,Voronoi Mesh,5.8715291023254395,0.009298086166381836,0.025698473458,7.43977027468,2.13620174349,2.44870376339
Parkinsons,1.0,374,94,3,Max Box Mesh,2.0917961597442627,0.002674102783203125,-0.920877732666,119.748528221,-0.363068212428,1.06914380587
Parkinsons,1.0,374,94,3,Iterative Box Mesh,2.821119785308838,0.0031290054321289062,-93.0327254406,8.24436104308,-0.173255703732,-1.01338450507
Parkinsons,1.0,374,94,3,Voronoi Mesh,4.778294086456299,0.007580280303955078,0.399390796744,8.14025070387,2.48804920618,2.78083069508
Parkinsons,1.0,374,94,4,Max Box Mesh,2.1419429779052734,0.0027458667755126953,-0.86526491551,31.2680460261,-0.271114523369,0.225995920624
Parkinsons,1.0,374,94,4,Iterative Box Mesh,2.8962371349334717,0.003152132034301758,-9.45600504068,303.49467822,-0.01992476936,3.72315925913
Parkinsons,1.0,374,94,4,Voronoi Mesh,5.528618097305298,0.008151054382324219,0.000800475421948,8.01073447753,2.13239334545,2.44516751184
Parkinsons,1.0,374,94,5,Max Box Mesh,2.3550772666931152,0.003195047378540039,-1.69687295505,2.81082882127,-0.364123539489,-0.229047103634
Parkinsons,1.0,374,94,5,Iterative Box Mesh,2.5733799934387207,0.003002166748046875,-4.34708627228,6.7765916258,-0.0254139033897,0.0537398873173
Parkinsons,1.0,374,94,5,Voronoi Mesh,5.392560243606567,0.008493185043334961,-0.158172292418,7.42561993369,2.15431528119,2.50396008583
Parkinsons,1.0,374,94,6,Max Box Mesh,2.7116539478302,0.0030710697174072266,-0.789669863713,45.4256460609,-0.265066636795,0.709382667905
Parkinsons,1.0,374,94,6,Iterative Box Mesh,2.6712639331817627,0.003715038299560547,-7.72106817673,5.46405630053,-0.157646532804,-0.155995962916
Parkinsons,1.0,374,94,6,Voronoi Mesh,5.820053815841675,0.008636951446533203,-0.317822328844,6.0862108596,2.16893260529,2.45079846887
Parkinsons,1.0,374,94,7,Max Box Mesh,2.14815092086792,0.002794981002807617,-0.846147435032,84.8160443691,-0.268447412628,0.958953415903
Parkinsons,1.0,374,94,7,Iterative Box Mesh,2.9205119609832764,0.003245115280151367,-7.48473611013,25.2416067996,-0.137567633693,0.474217948946
Parkinsons,1.0,374,94,7,Voronoi Mesh,5.4086291790008545,0.007845163345336914,-0.164079562251,10.1280003661,2.1075888609,2.43097284582
Parkinsons,1.0,374,94,8,Max Box Mesh,2.070625066757202,0.0026900768280029297,-0.894267685788,3.03152933476,-0.355945818629,-0.13525701521
Parkinsons,1.0,374,94,8,Iterative Box Mesh,2.829259157180786,0.003174304962158203,-24.0877930636,13.1302289048,-0.242927268423,-0.1763162561
Parkinsons,1.0,374,94,8,Voronoi Mesh,5.170947074890137,0.007806062698364258,-0.130118157341,7.2105736904,2.3845623046,2.43742871816
Parkinsons,1.0,374,94,9,Max Box Mesh,1.9855318069458008,0.002635955810546875,-0.916238236288,54.556992542,-0.24240265713,0.537553807283
Parkinsons,1.0,374,94,9,Iterative Box Mesh,2.988687038421631,0.0032210350036621094,-50.8420376303,52.7770087691,-0.221704221221,0.606158978189
Parkinsons,1.0,374,94,9,Voronoi Mesh,5.433808088302612,0.007941722869873047,-0.250284863712,8.39946930346,2.18962998289,2.56351509141
Parkinsons,1.2,374,94,0,Max Box Mesh,2.0931389331817627,0.002651214599609375,-0.914321305555,1.39749976475,-0.338211448797,-0.214138507521
Parkinsons,1.2,374,94,0,Iterative Box Mesh,2.7695181369781494,0.003342151641845703,-4.03370812259,2.24867865219,-0.0549538652848,-0.102386375251
Parkinsons,1.2,374,94,0,Voronoi Mesh,5.3602869510650635,0.008550882339477539,-0.147741774446,8.24562072762,2.15017135138,2.65273473215
